LSOACODE,AVEPRICE,AVEINCOME,IMDSCORE,PTAINDEX
E01002122,362847.17,43080,12.9,5.76
E01002123,377135.01,41623.33,18.1,13.4
E01002124,372586.99,41170,14.7,3.03
E01002125,371987.86,42100,16.8,9.06
E01002126,294806.35,48093.33,14.5,26.36
E01002127,427878.08,48176.67,12.9,18.84
E01002128,281758.4,45356.67,16.4,14.07
E01002129,468583.95,47946.67,16.2,26.44
E01002130,304693.08,44126.67,27,18.45
E01002131,376391.67,41780,26.1,6.53
E01002132,390859.7,55113.33,8.6,9.26
E01002133,404549.76,38833.33,30.4,9.18
E01002134,580101.34,56616.67,6.3,3.71
E01002135,350466.27,46136.67,14.9,8.77
E01002136,509538.16,46343.33,11.5,9.32
E01002137,489523.39,58676.67,7.2,13.45
E01002138,336828.27,43920,16.4,5.02
E01002139,329772.36,36263.33,32.4,6.02
E01002140,387256.38,43833.33,17.2,8.1
E01002141,464508.84,46300,14.7,5
E01002142,450106.36,47133.33,11.2,10.9
E01002143,338119.95,42583.33,20.3,7.53
E01002144,667146.74,53720,13.1,1.64
E01002145,499877.15,46206.67,18.2,5.93
E01002146,688837.82,59260,2.8,0.94
E01002147,662545.4,60270,7.1,1.22
E01002148,528667.75,50976.67,8.9,8.24
E01002149,713244.48,62156.67,3.8,2.97
E01002150,422572.82,47523.33,10.3,6.84
E01002151,363934.59,38840,33.6,9.74
E01002152,610497.22,53286.67,4.8,4.27
E01002153,547484.85,55633.33,5.3,12.31
E01002154,432704.51,50546.67,13.8,4.39
E01002155,444701.78,55880,5.6,1.9
E01002156,587358.94,55756.67,5.9,6.05
E01002157,470287.4,52543.33,10.3,11.91
E01002158,530246.94,57516.67,3.7,5.69
E01002159,385490.55,48616.67,9.8,7.91
E01002160,349925.95,46970,10.8,12.14
E01002161,436013.99,47260,12.9,13.95
E01002162,333774.5,46323.33,14.8,5.69
E01002163,499010.82,50903.33,9.8,7.46
E01002164,390385.21,50216.67,7.5,3.37
E01002165,410029.69,39746.67,13.3,8.01
E01002166,423220,40366.67,14.1,4.53
E01002167,383796.28,39460,19,3.93
E01002168,347458.33,38833.33,25.8,4.35
E01002169,382730.8,40173.33,16.2,8.21
E01002170,415996.78,43940,15.1,7.48
E01002171,429064.29,43950,11.9,3.53
E01002172,414871.34,45410,13.5,5.88
E01002173,498030.65,48206.67,12.2,6.39
E01002174,471459.65,47583.33,9.3,8.14
E01002175,490738.89,48190,11.7,8.25
E01002176,519489.96,47730,12.3,11.21
E01002177,407070.01,46163.33,11.7,4.35
E01002178,460660.38,47643.33,8.9,5.35
E01002179,296594.18,40823.33,24.3,19.15
E01002180,292522.65,39283.33,26.1,15.91
E01002181,359004.26,47133.33,9.7,8.11
E01002182,401390.35,46683.33,13.4,13.2
E01002183,356850.77,41616.67,17.7,10.73
E01002184,322088.48,41063.33,18.4,6.04
E01002185,377582.05,41810,28,4.14
E01002186,349618.52,48046.67,16.5,4.89
E01002187,622235.48,52240,11.7,4.01
E01002188,819607.11,66120,2.4,4.68
E01002189,686243.73,60990,4.8,7.81
E01002190,946935.39,57843.33,4.6,0.73
E01002191,536210.92,59103.33,5.3,3.34
E01002192,584137.86,62263.33,5.9,4.98
E01002193,511008.74,58086.67,10.3,9.69
E01002194,703668.09,63486.67,3.4,4.26
E01002195,521462.62,58756.67,4.5,4.25
E01002196,595723.87,62260,3.2,3.44
E01002197,455524.16,45930,11.3,5.09
E01002198,422237.35,42266.67,13.8,7.25
E01002199,402952.71,45296.67,11.2,7.44
E01002200,380202.48,42383.33,15,5.4
E01002201,472206.72,45906.67,8.5,4.03
E01002202,262013.89,38916.67,18.1,6.93
E01002203,397034.29,44086.67,13,4.59
E01002204,298273.35,45373.33,14,14.68
E01002206,349180.27,46740,10.8,14.33
E01002207,421646,47160,9.8,4.65
E01002208,595147.46,57103.33,3.6,7.41
E01002209,344333.04,53346.67,8.7,14.8
E01002210,484573.33,49330,10.3,9.78
E01002211,372877.03,40223.33,26.3,6.32
E01002212,292480.75,40806.67,20.1,8.05
E01002213,269256.46,39906.67,19.1,12.73
E01002214,364365.96,40936.67,18.1,5.13
E01002215,313606.96,37706.67,27.4,5.97
E01002216,421109.48,44483.33,10.1,5.33
E01002217,318371.22,36136.67,37.2,5.82
E01002218,323307.41,43013.33,16.2,12.25
E01002219,298857.41,41923.33,20.6,15.4
E01002220,425706.52,45510,12.7,4.55
E01002221,362299.38,43750,17.6,11.25
E01002222,381432.65,45470,13.6,6.32
E01002223,354658.22,44393.33,12.2,4.37
E01002224,340799.37,40803.33,22.3,3.04
E01002225,1186835.65,56666.67,6.5,1.76
E01002226,708335.87,49126.67,12.5,5.3
E01002227,589550.87,40433.33,37,3.76
E01002228,804500.27,50340,13.7,3.48
E01002229,453483.25,46503.33,19.7,2.42
E01002230,578120.17,49660,9.7,2.97
E01002231,356077.16,41833.33,22.2,4.33
E01002232,332457.1,41556.67,18,9.99
E01002233,288140.32,39426.67,24.2,14.2
E01002234,372262.27,40053.33,17.8,3.89
E01002235,338155.01,37866.67,32.3,7.96
E01002236,357604.31,39543.33,22,13.95
E01002237,354710.87,46293.33,19.6,18.17
E01002238,368403.3,49673.33,9.8,9.37
E01002239,464468.09,50483.33,7.2,10.21
E01002240,393634.13,47070,17.4,11.27
E01002241,405648.44,47616.67,16.1,5.01
E01002242,486280.59,52546.67,7.2,13.08
E01002243,252994.62,40370,30.8,14.51
E01002244,244099.34,42873.33,22.3,5.23
E01002245,267400.04,41656.67,19.9,9.14
E01002246,274701.07,43306.67,16.2,2.72
E01002247,244502.54,43310,23.9,4.44
E01002248,261260.53,41186.67,23.4,6.74
E01002249,210051.56,43826.67,19.3,12.76
E01002250,209907.45,43263.33,21.9,2.26
E01002251,259163.91,40676.67,28,8.72
E01002252,358576.08,46460,9.5,1.45
