SEQID,MSOA11CD,MSOA11NM,OBESE,TOTAL,IMDMSOA,RESTCAT
253,E02000263,Ealing 026,161,560,29.93333333,1
254,E02000264,Ealing 027,32,152,18.06,1
255,E02000265,Ealing 028,63,337,26.6,2
256,E02000266,Ealing 029,152,535,37.34285714,1
257,E02000267,Ealing 030,60,295,18.65,1
258,E02000268,Ealing 031,42,189,21,1
259,E02000269,Ealing 032,22,201,10.64,1
260,E02000270,Ealing 033,62,273,36.32,1
261,E02000271,Ealing 034,13,91,9.55,1
262,E02000272,Ealing 035,28,257,10.35,1
263,E02000274,Ealing 037,185,666,28.28571429,1
264,E02000275,Ealing 038,76,287,27.6,1
265,E02000276,Ealing 039,24,219,13.675,1
266,E02000277,Enfield 001,79,291,26.25,1
267,E02000278,Enfield 002,105,337,38.68,1
268,E02000279,Enfield 003,181,588,32.5,1
269,E02000280,Enfield 004,67,314,21.82,1
270,E02000281,Enfield 005,90,362,27.88,1
271,E02000282,Enfield 006,123,477,40,1
272,E02000283,Enfield 007,120,418,30.8,1
273,E02000284,Enfield 008,55,286,16.94,1
274,E02000285,Enfield 009,35,214,11.375,1
275,E02000286,Enfield 010,37,208,17.6,1
276,E02000287,Enfield 011,28,136,13.2,1
277,E02000288,Enfield 012,143,477,33.38333333,1
278,E02000289,Enfield 013,38,258,10.4,1
279,E02000290,Enfield 014,88,325,39.75,1
280,E02000291,Enfield 015,78,298,22.7,1
281,E02000292,Enfield 016,90,383,21.46666667,1
282,E02000293,Enfield 017,29,172,10.875,0
283,E02000294,Enfield 018,136,445,29.78,0
284,E02000295,Enfield 019,56,291,14.32,0
285,E02000296,Enfield 020,65,337,19.66,2
286,E02000297,Enfield 021,49,273,11.15,1
287,E02000298,Enfield 022,27,202,8.5,1
288,E02000299,Enfield 023,135,478,34.1,0
289,E02000300,Enfield 024,104,338,31.66,0
290,E02000301,Enfield 025,166,534,40.26666667,1
291,E02000302,Enfield 026,57,230,19.22,1
292,E02000303,Enfield 027,108,376,39.28,1
293,E02000304,Enfield 028,28,224,9.46,1
294,E02000305,Enfield 029,39,231,15.34,1
295,E02000306,Enfield 030,122,427,43.56,1
296,E02000307,Enfield 031,120,397,24.9,0
297,E02000308,Enfield 032,77,270,21.9,1
298,E02000309,Enfield 033,156,519,38.1,1
299,E02000311,Enfield 035,108,371,26.75,1
300,E02000312,Enfield 036,57,221,19.38333333,1
301,E02000313,Greenwich 001,126,365,29.15,0
302,E02000314,Greenwich 002,216,753,23.48571429,1
303,E02000315,Greenwich 003,154,509,37.02,1
304,E02000316,Greenwich 004,123,376,24.475,2
305,E02000317,Greenwich 005,116,385,32.66,1
306,E02000318,Greenwich 006,125,383,26.7,1
307,E02000319,Greenwich 007,98,369,24.01666667,1
308,E02000320,Greenwich 008,82,273,22.1,0
309,E02000321,Greenwich 009,97,350,33.35,0
310,E02000323,Greenwich 011,145,460,32.31666667,2
311,E02000324,Greenwich 012,80,312,29.65,1
312,E02000326,Greenwich 014,59,255,20.175,1
313,E02000327,Greenwich 015,71,277,30.375,0
314,E02000328,Greenwich 016,30,146,17.375,1
315,E02000329,Greenwich 017,46,215,19.725,1
316,E02000331,Greenwich 019,71,280,29.525,1
317,E02000332,Greenwich 020,47,242,15.88,1
318,E02000333,Greenwich 021,12,101,14.1,1
319,E02000334,Greenwich 022,43,209,25.975,0
320,E02000335,Greenwich 023,38,202,11.35,1
321,E02000337,Greenwich 025,71,271,30.84,1
322,E02000339,Greenwich 027,35,188,16.925,1
323,E02000340,Greenwich 028,35,136,14.4,2
324,E02000341,Greenwich 029,110,373,38.4,1
325,E02000342,Greenwich 030,56,212,21.13333333,1
326,E02000343,Greenwich 031,44,219,24.625,1
327,E02000344,Greenwich 032,44,168,12.825,1
328,E02000345,Hackney 001,29,126,29.1,1
329,E02000346,Hackney 002,72,206,47.2,1
330,E02000347,Hackney 003,40,138,29.08,1
331,E02000348,Hackney 004,56,208,33.36,1
332,E02000350,Hackney 006,56,226,24.36,1
333,E02000351,Hackney 007,47,165,28.08333333,1
334,E02000352,Hackney 008,21,155,26.525,1
335,E02000353,Hackney 009,27,211,23.76,2
336,E02000354,Hackney 010,71,338,34.93333333,1
337,E02000355,Hackney 011,49,256,28.8,1
338,E02000356,Hackney 012,38,213,23.7,1
339,E02000357,Hackney 013,115,348,43.95,0
340,E02000358,Hackney 014,77,304,31.88333333,1
341,E02000359,Hackney 015,40,219,30.75,1
342,E02000360,Hackney 016,142,443,36.5,1
343,E02000361,Hackney 017,60,225,33.45,2
344,E02000362,Hackney 018,74,232,44.25,1
345,E02000363,Hackney 019,163,559,41.91666667,1
346,E02000364,Hackney 020,52,242,27.82,1
347,E02000365,Hackney 021,66,264,30.1,2
348,E02000366,Hackney 022,77,265,35.16,1
349,E02000367,Hackney 023,77,307,31.23333333,2
350,E02000368,Hackney 024,81,317,38.38333333,1
351,E02000369,Hackney 025,116,388,36.4,1
352,E02000370,Hackney 026,82,264,33.75,1
353,E02000371,Hackney 027,93,309,29.58571429,4
354,E02000372,Hammersmith and Fulham 001,62,298,32.56,1
355,E02000373,Hammersmith and Fulham 002,73,361,39.325,0
356,E02000374,Hammersmith and Fulham 003,49,205,28.3,1
357,E02000375,Hammersmith and Fulham 004,49,195,30.775,3
358,E02000376,Hammersmith and Fulham 005,32,132,30.475,2
