streetnumid,burglary,distance,connectivity,choiceq,integq,totalhouses
472,4,81.099,7,3,4,4
473,0,51.665,7,3,4,6
474,0,50.601,2,2,4,4
475,8,178.812,13,4,3,21
476,1,55.315,4,2,2,3
477,2,54.816,2,2,2,3
478,1,122.039,4,2,3,8
479,2,231.568,12,2,3,23
480,0,227.071,7,3,3,19
481,2,369.145,18,4,4,28
482,0,86.42,6,1,4,5
483,0,94.834,2,4,4,7
484,0,153.296,2,3,4,6
485,0,114.616,4,2,3,8
486,1,43.515,1,1,4,4
487,1,74.011,1,1,4,10
488,0,63.879,1,1,3,7
489,4,276.451,11,4,4,24
490,0,80.774,4,2,1,6
491,3,114.34,4,1,2,20
492,1,148.911,7,3,2,10
493,2,69.846,4,2,2,9
494,1,72.384,2,2,2,8
495,0,147.418,12,4,3,14
496,6,141.856,10,4,3,19
497,0,122.898,4,3,3,7
498,2,227.826,10,4,3,17
499,0,110.043,3,2,2,9
500,0,69.143,1,1,2,9
501,0,136.977,2,1,3,12
502,1,232.21,10,4,3,33
503,0,65.397,3,2,2,21
504,0,95.042,2,2,2,14
505,0,82.907,2,2,2,12
506,0,138.569,3,2,2,17
507,0,148.728,9,3,3,12
508,0,217.195,9,4,3,18
509,1,209.428,10,4,3,24
510,2,100.952,3,3,2,13
511,0,101.201,4,3,2,10
512,0,103.692,7,3,2,10
513,0,152.088,9,4,3,13
514,0,104.908,4,2,1,10
515,0,121.508,3,4,2,15
516,0,110.447,1,1,1,14
517,0,102.636,2,1,1,15
518,0,108.956,2,1,2,15
519,0,168.152,2,1,3,9
520,1,246.987,11,4,3,23
521,0,19.639,1,1,2,2
522,0,36.998,1,1,1,2
523,1,131.806,4,3,2,14
524,6,137.344,8,4,3,15
525,0,48.729,1,1,2,2
526,0,57.738,1,1,2,6
527,0,66.365,2,2,2,4
528,2,149.522,7,3,2,14
529,0,58.345,1,1,1,4
530,0,162.724,4,3,2,12
531,1,84.72,5,4,3,8
532,0,106.282,1,1,1,10
533,0,149.832,4,3,1,9
534,0,151.292,5,3,1,11
535,0,118.688,2,1,1,8
536,0,191.474,3,3,1,16
537,0,130.491,1,1,1,9
538,0,227.962,1,1,1,21
539,0,478.309,12,4,2,34
540,0,68.538,4,1,1,5
541,0,229.341,4,4,1,22
542,0,432.486,5,4,4,25
543,0,187.435,11,4,3,17
544,1,168.466,2,2,3,17
545,1,222.496,5,2,2,22
546,0,165.109,4,3,3,6
547,0,86.38,1,1,2,9
548,0,83.377,1,1,2,15
549,0,182.171,1,1,2,18
550,0,180.347,1,1,2,22
551,0,259.4,3,3,3,24
552,1,63.79,1,1,2,8
553,0,72.965,1,1,2,5
554,0,172.301,7,4,3,15
555,0,146.67,3,2,2,9
556,0,182.754,3,2,2,11
557,0,377.852,11,4,3,24
558,1,574.853,6,4,4,51
559,0,187.593,8,4,2,13
560,0,532.131,4,4,3,62
561,0,601.809,4,4,3,64
562,2,427.717,5,4,4,42
563,0,469.93,1,1,4,53
564,4,422.286,6,4,4,38
565,0,204.401,4,3,3,26
566,0,50.546,3,1,1,3
567,0,106.604,5,2,1,8
568,0,168.105,3,2,2,16
569,0,133.289,7,4,3,4
570,0,48.146,1,1,2,7
571,0,35.057,1,1,2,3
572,0,249.847,9,4,3,33
573,0,204.131,9,4,4,26
574,1,251.617,7,4,4,29
575,0,164.036,4,4,4,13
576,1,89.366,2,2,3,8
577,0,54.08,2,1,2,9
578,0,78.681,2,2,3,5
579,0,80.091,3,3,3,5
580,0,228.245,6,4,4,19
581,0,119.795,2,2,3,9
582,0,194.318,11,4,3,23
583,0,44.727,9,3,3,7
584,0,55.621,7,4,3,4
585,0,138.681,1,1,4,8
586,4,299.502,6,4,4,11
587,0,134.316,5,3,4,12
588,1,138.887,6,3,3,11
589,2,70.848,4,2,3,9
590,0,40.671,1,1,3,3
591,0,56.962,2,2,3,1
592,2,184.328,7,4,4,17
593,2,286.773,18,4,4,30
594,7,57.639,1,1,2,4
595,0,65.03,1,1,2,7
596,1,64.928,5,3,3,6
597,0,64.742,4,2,3,3
598,0,69.324,2,2,2,8
599,2,176.19,9,4,4,23
600,0,68.062,3,3,4,8
601,1,155.166,9,4,4,18
602,1,94.65,3,4,3,12
603,0,59.317,2,2,3,10
604,7,91.476,3,3,3,12
605,1,104.783,3,3,2,11
606,0,140.172,8,4,4,12
607,0,114.789,8,4,4,10
608,0,17.774,1,1,4,2
609,1,30.422,1,1,4,2
610,1,432.612,7,4,4,24
611,0,121.221,2,2,3,13
612,0,78.41,3,2,3,3
613,0,488.537,3,2,2,47
614,0,252.176,2,3,3,19
615,0,440.904,2,2,2,43
616,0,469.569,14,4,2,30
617,0,74.398,4,4,1,4
618,0,379.103,4,4,2,27
619,0,609.089,18,4,3,44
620,0,51.035,6,1,3,6
621,0,105.432,2,3,2,6
622,0,107.782,3,2,1,10
623,0,253.953,6,4,3,13
624,2,201.913,1,1,2,21
625,1,124.352,6,1,3,21
626,0,163.785,2,1,2,11
627,1,302.948,2,2,2,26
628,3,368.008,2,2,2,33
629,0,470.492,3,2,2,34
630,0,425.532,1,1,2,34
631,0,224.697,3,3,3,5
632,0,526.17,10,4,3,22
633,0,490.759,4,4,3,26
634,0,785.947,3,3,2,36
635,0,736.836,4,3,2,30
636,0,315.096,1,1,1,13
637,3,581.643,3,3,1,31
638,5,135.871,6,3,2,5
639,3,344.853,3,3,1,15
640,0,274.222,5,2,2,11
641,2,900.222,13,4,3,37
642,0,275.245,4,3,1,12
643,0,335.704,3,3,2,27
644,1,149.1,1,1,1,15
645,0,184.907,3,3,1,10
646,0,168.686,2,1,1,14
647,1,373.304,5,3,2,31
648,0,93.189,6,2,1,5
649,2,361.87,7,4,2,28
650,0,72.359,5,2,1,2
651,0,310.286,6,4,2,20
652,0,124.949,2,2,2,5
653,0,120.404,2,2,2,6
654,2,84.126,2,2,2,6
655,1,78.302,2,2,2,1
656,3,504.921,7,3,2,32
657,0,514.262,6,4,2,46
658,0,516.679,10,4,1,51
659,0,173.626,3,3,2,9
660,2,166.67,3,3,2,15
661,0,245.489,4,2,1,21
662,0,61.454,4,1,1,8
663,1,115.369,1,1,1,11
664,0,122.118,4,2,1,11
665,0,298.943,8,3,1,11
666,0,195.419,5,2,1,21
667,0,121.913,4,3,1,12
668,0,123.314,6,2,1,11
669,0,180.607,6,3,1,21
670,1,183.897,4,2,1,17
671,0,109.9,2,2,2,10
672,3,289.929,3,4,2,31
673,0,119.166,6,2,1,12
674,0,354.712,3,3,1,40
675,0,269.409,2,2,1,22
676,0,452.944,13,4,1,18
677,0,442.909,15,4,1,14
678,0,190.793,2,2,1,9
679,0,205.753,2,2,1,17
680,0,320.272,2,4,2,31
681,1,282.327,4,3,2,27
682,2,250.273,10,4,2,24
683,4,249.716,2,2,1,24
684,3,249.184,7,3,1,22
685,3,248.541,3,2,1,19
686,4,199.579,2,1,1,15
687,0,182.782,11,4,1,10
688,0,168.38,7,3,1,18
689,1,85.37,5,2,1,5
690,0,118.027,2,2,1,6
691,0,64.54,1,1,1,4
692,0,218.858,1,1,1,17
693,0,196.279,13,3,1,16
694,0,76.139,4,3,1,7
695,0,86.061,6,3,1,3
696,0,313.808,16,4,1,10
697,1,60.551,1,1,1,3
698,0,149.783,1,1,1,12
699,2,105.05,10,4,1,7
700,0,121.085,12,4,1,10
701,10,130.185,2,2,1,12
702,1,143.443,2,2,1,13
703,2,121.329,4,2,1,6
704,2,105.231,4,2,1,7
705,0,177.307,10,3,1,6
706,2,263.867,4,2,1,23
707,0,228.009,8,4,1,2
708,0,143.499,12,4,1,10
709,0,161.217,2,2,1,6
710,0,142.369,5,2,1,8
711,11,319.27,15,4,1,18
712,12,157.965,2,2,1,15
713,12,188.603,2,2,1,18
714,3,217.602,11,3,1,24
715,0,71.714,3,1,1,3
716,0,74.641,8,3,2,3
717,0,50.396,1,1,3,2
718,0,33.079,1,1,2,3
719,0,65.819,2,3,4,3
720,0,43.101,1,1,4,3
721,2,82.721,2,2,4,2
722,0,35.343,1,1,3,2
723,0,92.13,3,2,4,4
724,0,78.014,4,4,4,2
725,1,552.037,18,4,4,43
726,0,444.631,6,4,4,47
727,0,50.167,2,1,3,3
728,8,480.324,17,4,4,43
729,3,198.058,14,4,4,18
730,12,994.394,20,4,4,81
731,3,938.929,14,4,4,34
732,2,666.491,19,4,4,51
733,0,887.123,13,4,4,84
734,0,673.193,8,4,4,32
735,0,325.285,13,4,1,4
736,1,321.694,15,4,1,4
737,0,283.942,5,4,2,12
738,2,117.638,1,1,1,5
739,0,1020.7,20,4,3,48
740,3,66.04,1,1,2,2
741,9,310.028,2,1,1,35
742,5,684.849,17,4,2,33
743,0,549.14,11,4,3,19
